x (m),Qdot (J/m3 s),N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
0.0011,1.46227e-27,0,0,0,4.9795e-84,0,3.11791e-87,6.807e-122,1.69041e-79,1.39143e-34,3.77799e-75,-3.42484e-141,-3.53316e-228,-2.69924e-135,2.99167e-45,1.89366e-121,3.43684e-75,-3.48448e-315,1.59611e-131,2.16676e-34,1.8799e-118,5.01269e-98,1.49159e-87,3.10784e-81,-2.16754e-190,4.08601e-123,-8.14623e-148,-1.52528e-164,6.17527e-45,-8.16773e-88,-1.87201e-166,0,-1.06615e-80,-1.35835e-68,1.06822e-83
0.0012,1.46227e-27,0,0,0,2.64514e-92,0,9.46085e-87,-8.37153e-131,-3.76686e-86,1.39143e-34,1.14638e-74,9.8149e-144,2.12036e-230,1.41274e-137,2.99167e-45,-3.44424e-129,1.04286e-74,0,6.56889e-131,2.16676e-34,5.70429e-118,5.01269e-98,1.49159e-87,9.43032e-81,-4.5898e-209,1.65354e-122,1.46751e-155,8.05135e-173,6.17527e-45,1.17523e-89,2.61313e-174,0,9.12249e-83,1.26655e-80,5.18167e-83
0.0013,1.46227e-27,0,0,0,2.60736e-76,0,2.83732e-84,-1.20624e-122,-9.41217e-83,1.39143e-34,3.47343e-74,2.6985e-128,3.87178e-213,2.80237e-122,2.99167e-45,8.76394e-139,2.78523e-73,0,1.04564e-133,2.16676e-34,1.72835e-117,5.01251e-98,1.49159e-87,2.85731e-80,-4.92385e-199,2.63212e-125,1.60617e-154,4.2563e-173,6.17527e-45,1.62548e-74,-2.23034e-151,0,5.43341e-68,5.43069e-77,3.64924e-68
0.0014,1.46227e-27,0,0,0,1.57753e-79,0,8.67152e-86,2.85219e-112,1.40196e-68,1.39143e-34,1.05073e-73,8.96152e-143,1.77174e-228,1.29194e-136,2.99167e-45,1.16095e-111,9.55856e-74,2.55544e-303,6.02167e-130,2.16676e-34,5.22837e-117,5.01275e-98,1.49159e-87,8.64354e-80,1.58888e-190,1.51579e-121,1.23349e-153,6.77192e-171,6.17527e-45,1.076e-88,1.42766e-160,0,8.34416e-82,3.03633e-67,4.74772e-82
0.0015,1.46227e-27,0,0,0,7.3231e-91,0,2.61864e-85,3.99814e-129,1.34292e-89,1.39143e-34,3.17303e-73,2.72163e-142,1.62853e-227,3.91469e-136,2.99167e-45,1.76897e-131,2.88651e-73,0,1.81818e-129,2.16676e-34,1.57887e-116,5.01269e-98,1.49159e-87,2.61019e-79,4.53055e-208,4.57678e-121,1.12427e-152,6.1681e-170,6.17527e-45,3.25477e-88,2.00388e-171,0,2.52548e-81,3.50589e-79,1.4345e-81
0.0016,1.46227e-27,0,0,0,2.2073e-90,0,7.89302e-85,3.63238e-128,4.0478e-89,1.39143e-34,9.56402e-73,8.20345e-142,1.47955e-226,1.17995e-135,2.99167e-45,5.33198e-131,8.70041e-73,0,5.48029e-129,2.16676e-34,4.75899e-116,5.01269e-98,1.49159e-87,7.86755e-79,4.11609e-207,1.37952e-120,1.02142e-151,5.60383e-169,6.17527e-45,9.8104e-88,1.82056e-170,0,7.61223e-81,1.05673e-78,4.32383e-81
0.0017,1.46227e-27,0,0,0,6.63981e-90,0,2.37431e-84,3.28684e-127,1.21762e-88,1.39143e-34,2.87696e-72,2.46769e-141,1.33881e-225,3.54943e-135,2.99167e-45,1.60392e-130,2.61718e-72,0,1.64853e-128,2.16676e-34,1.43156e-115,5.01269e-98,1.49159e-87,2.36665e-78,3.72454e-206,4.14974e-120,9.24256e-151,5.07075e-168,6.17527e-45,2.95108e-87,1.64738e-169,0,2.28984e-80,3.17877e-78,1.30066e-80
0.0018,1.46227e-27,0,0,0,6.91151e-69,0,-1.19156e-70,5.03319e-106,5.20027e-68,1.39143e-34,8.63565e-72,1.33379e-129,-4.9233e-201,5.87574e-123,2.99167e-45,7.13019e-110,8.08336e-72,-2.68847e-282,-3.71769e-115,2.16676e-34,4.29704e-115,5.01704e-98,1.49159e-87,7.10386e-78,-5.20279e-172,-7.98367e-107,-3.66344e-137,-1.23451e-154,6.17527e-45,1.49749e-74,3.65386e-143,0,5.43341e-68,5.7274e-67,1.90169e-67
0.0019,1.46227e-27,0,0,0,7.67518e-78,0,2.12199e-83,1.09588e-109,2.08004e-68,1.39143e-34,2.58621e-71,2.39697e-128,7.51474e-205,2.11606e-122,2.99167e-45,1.90196e-111,2.36635e-71,-3.28727e-285,-3.22705e-118,2.16676e-34,1.28688e-114,5.0128e-98,1.49159e-87,2.12746e-77,-2.726e-175,-8.12326e-110,-6.41821e-139,-8.67844e-156,6.17527e-45,9.00061e-75,1.85279e-144,0,-8.87777e-71,4.55037e-67,1.35329e-68
0.002,1.46227e-27,0,0,0,1.78319e-88,0,6.37648e-83,-1.20079e-123,-8.68598e-83,1.39143e-34,7.72643e-71,6.62727e-140,9.65621e-223,9.53241e-134,2.99167e-45,-8.42031e-126,7.02875e-71,0,4.42733e-127,2.16676e-34,3.84461e-114,5.01269e-98,1.49159e-87,6.35591e-77,-7.58561e-202,1.11446e-118,6.66624e-148,3.65731e-165,6.17527e-45,7.92547e-86,1.18817e-166,0,6.14964e-79,8.53669e-77,3.49307e-79
0.0021,1.46227e-27,0,0,0,5.31377e-88,0,1.90013e-82,2.1051e-123,9.74449e-87,1.39143e-34,2.3024e-70,1.97487e-139,8.57456e-222,2.84057e-133,2.99167e-45,1.2836e-128,2.0945e-70,0,1.3193e-126,2.16676e-34,1.14566e-113,5.01269e-98,1.49159e-87,1.894e-76,2.38543e-202,3.32099e-118,5.91951e-147,3.24763e-164,6.17527e-45,2.36171e-85,1.05508e-165,0,1.83253e-78,2.54394e-76,1.0409e-78
0.0022,1.46227e-27,0,0,0,1.57918e-87,0,5.64694e-82,1.85922e-122,2.89593e-86,1.39143e-34,6.84243e-70,5.86903e-139,7.57303e-221,8.44178e-133,2.99167e-45,3.81468e-128,6.22457e-70,0,3.92079e-126,2.16676e-34,3.40474e-113,5.01269e-98,1.49159e-87,5.62871e-76,2.1068e-201,9.86954e-118,5.2281e-146,2.8683e-163,6.17527e-45,7.0187e-85,9.31848e-165,0,5.44605e-78,7.56024e-76,3.09342e-78
0.0023,1.46227e-27,0,0,0,2.76781e-86,0,1.67343e-81,1.82181e-118,8.42457e-82,1.39143e-34,2.02771e-69,1.80288e-139,4.23259e-221,4.78121e-133,2.99167e-45,9.44307e-124,1.84461e-69,8.00386e-319,9.04126e-126,2.16676e-34,1.00897e-112,5.01269e-98,1.49159e-87,1.66803e-75,3.27914e-197,2.27589e-117,2.39056e-145,8.02029e-163,6.17527e-45,7.41704e-85,1.74917e-164,0,1.02795e-77,1.75807e-75,5.84493e-78
0.0024,1.46227e-27,0,0,0,1.0334e-69,0,5.68763e-71,4.83547e-104,1.92096e-68,1.39143e-34,5.99109e-69,-8.15946e-130,-2.46666e-200,-2.40358e-123,2.99167e-45,5.4092e-110,5.45006e-69,-3.21005e-280,-9.87693e-116,2.16676e-34,2.98112e-112,5.01748e-98,1.49159e-87,4.92839e-75,-4.28363e-172,-4.64724e-107,-2.12365e-134,-8.64808e-152,6.17527e-45,-3.2634e-75,-5.02734e-143,0,1.08668e-67,4.40418e-67,-9.32536e-69
0.0025,1.46227e-27,0,0,0,1.55752e-79,0,1.45631e-80,5.17448e-107,1.38114e-68,1.39143e-34,1.76462e-68,1.51325e-137,5.03522e-218,2.17679e-131,2.99167e-45,1.45277e-111,1.60528e-68,6.31994e-293,1.01114e-124,2.16676e-34,8.7806e-112,5.01277e-98,1.49159e-87,1.45161e-74,2.35046e-185,2.54528e-116,3.47712e-143,1.90762e-160,6.17527e-45,1.80995e-83,2.59114e-155,0,1.40447e-76,3.38172e-67,7.97753e-77
0.0026,1.46227e-27,0,0,0,-1.93309e-78,0,4.27449e-80,-6.90089e-107,-7.04795e-69,1.39143e-34,5.18057e-68,-6.07543e-129,-8.15951e-209,-5.3458e-123,2.99167e-45,-6.17002e-112,4.71278e-68,-3.0242e-298,-1.91916e-123,2.16676e-34,2.57781e-111,5.01265e-98,1.49159e-87,4.26164e-74,1.55197e-188,-5.2013e-115,-9.00922e-141,-1.2293e-157,6.17527e-45,-2.26623e-75,4.95489e-152,0,-6.79176e-69,-1.48421e-67,-3.39583e-69
0.0027,1.46227e-27,0,0,0,3.49822e-85,0,1.25092e-79,9.12354e-118,6.41511e-84,1.39143e-34,1.51575e-67,1.30012e-136,3.71623e-216,1.87004e-130,2.99167e-45,8.45034e-126,1.37888e-67,3.55727e-319,8.6854e-124,2.16676e-34,7.54224e-111,5.01269e-98,1.49159e-87,1.24688e-73,1.03385e-196,2.18632e-115,2.56553e-141,1.40753e-158,6.17527e-45,1.55479e-82,4.57275e-160,0,1.20642e-75,1.67476e-73,6.85258e-76
0.0028,1.46227e-27,0,0,0,1.01999e-84,0,3.64777e-79,-1.29019e-115,-1.51475e-78,1.39143e-34,4.41911e-67,3.78401e-136,3.15149e-215,5.4474e-130,2.99167e-45,-1.34384e-121,4.02007e-67,4.57018e-314,2.53298e-123,2.16676e-34,2.19891e-110,5.01269e-98,1.49159e-87,3.63524e-73,-6.96064e-194,6.37611e-115,2.18159e-140,1.19702e-157,6.17527e-45,4.53188e-82,3.8853e-159,0,5.43341e-68,4.88238e-73,1.99809e-75
0.0029,1.46227e-27,0,0,0,-1.16703e-75,0,2.29941e-77,-3.07983e-108,-6.50283e-76,1.39143e-34,1.28363e-66,1.64348e-129,3.79768e-207,3.4987e-123,2.99167e-45,3.23881e-131,1.16772e-66,0,4.77075e-123,2.16676e-34,6.38724e-110,5.01251e-98,1.49159e-87,1.05594e-72,-2.26023e-192,1.20091e-114,8.81935e-140,3.47724e-157,6.17527e-45,3.626e-75,-3.87387e-150,0,8.5854e-75,1.71448e-75,9.32537e-69
0.003,1.46227e-27,0,0,0,5.23531e-84,0,3.06536e-78,2.68102e-115,-1.22495e-83,1.39143e-34,3.71432e-66,3.3652e-136,1.48289e-214,8.80757e-130,2.99167e-45,7.35181e-126,3.37893e-66,-2.13614e-311,1.65616e-122,2.16676e-34,1.84822e-109,5.01269e-98,1.49159e-87,3.05547e-72,7.53331e-192,4.16894e-114,1.23997e-141,-1.23047e-155,6.17527e-45,1.36014e-81,5.89127e-158,0,1.88493e-74,3.22034e-72,1.07066e-74
0.0031,1.46227e-27,0,0,0,1.50963e-83,0,8.83473e-78,2.5191e-114,2.20577e-82,1.39143e-34,1.07051e-65,9.69896e-136,1.23179e-213,2.53845e-129,2.99167e-45,3.07993e-124,9.73846e-66,3.45302e-310,4.77325e-122,2.16676e-34,5.32678e-109,5.01269e-98,1.49159e-87,8.80623e-72,7.81228e-192,1.20154e-113,4.35474e-138,-2.08654e-155,6.17527e-45,3.92008e-81,4.89365e-157,0,5.43259e-74,9.2814e-72,3.08578e-74
0.0032,1.46227e-27,0,0,0,3.21916e-79,0,2.53579e-77,2.04142e-109,-5.84592e-77,1.39143e-34,3.07264e-65,9.17402e-130,7.05573e-207,8.45555e-124,2.99167e-45,9.04817e-120,2.79519e-65,7.85701e-302,1.76064e-121,2.16676e-34,1.52892e-108,5.01269e-98,1.49159e-87,2.52761e-71,2.87933e-188,4.43195e-113,1.05424e-136,5.78375e-154,6.17527e-45,3.75036e-76,3.58862e-151,0,-5.43338e-68,3.39484e-71,5.8739e-70
0.0033,1.46227e-27,0,0,0,2.02608e-82,0,7.24736e-77,-5.11215e-111,-3.01885e-76,1.39143e-34,8.78167e-65,7.51219e-134,1.2428e-210,1.08165e-127,2.99167e-45,-2.68002e-119,7.9887e-65,7.15788e-305,5.032e-121,2.16676e-34,4.36969e-108,5.01269e-98,1.49159e-87,7.22397e-71,-2.75202e-189,1.26667e-112,8.61152e-136,4.72458e-153,6.17527e-45,9.00031e-80,1.53275e-154,0,6.98752e-73,9.70224e-71,3.96899e-73
0.0034,1.46227e-27,0,0,0,1.19458e-76,0,2.06218e-76,-7.60992e-101,-1.01876e-67,1.39143e-34,2.49876e-64,1.4565e-127,7.46974e-204,1.6828e-121,2.99167e-45,-4.98313e-110,2.27312e-64,-3.82811e-282,1.25658e-120,2.16676e-34,1.24336e-107,5.00984e-98,1.49159e-87,2.05553e-70,3.26086e-179,2.80507e-112,3.57774e-135,1.11777e-152,6.17527e-45,9.86583e-74,-2.55658e-142,0,1.2599e-72,-2.06576e-66,2.17974e-67
0.0035,1.46227e-27,0,0,0,1.63293e-81,0,5.84105e-76,-3.32066e-109,-2.43306e-75,1.39143e-34,7.07763e-64,6.05454e-133,8.07286e-209,8.71762e-127,2.99167e-45,-2.15997e-118,6.43854e-64,3.02014e-301,4.05557e-120,2.16676e-34,3.52178e-107,5.01269e-98,1.49159e-87,5.8222e-70,-1.78761e-187,1.02088e-111,5.59373e-134,3.06892e-151,6.17527e-45,7.25385e-79,9.95621e-153,0,5.43397e-68,7.81957e-70,3.19883e-72
0.0036,1.46227e-27,0,0,0,-1.48842e-77,0,1.64667e-75,-6.17193e-106,-7.65433e-75,1.39143e-34,1.99528e-63,-4.81111e-128,-2.48326e-203,-4.24733e-122,2.99167e-45,-1.33245e-117,1.81511e-63,1.60077e-297,1.14332e-119,2.16676e-34,9.92838e-107,5.01269e-98,1.49159e-87,1.64136e-69,-8.86203e-185,2.87801e-111,4.44564e-133,2.43904e-150,6.17527e-45,-1.80656e-74,-1.14438e-147,0,1.58764e-71,2.20443e-69,-2.71576e-68
0.0037,1.46227e-27,0,0,0,-1.44838e-79,0,4.61967e-75,-1.32316e-101,-1.40196e-68,1.39143e-34,5.59768e-63,4.78877e-132,5.05001e-207,6.89488e-126,2.99167e-45,-1.16095e-111,5.09223e-63,4.81512e-286,3.20754e-119,2.16676e-34,2.78537e-106,5.01262e-98,1.49159e-87,4.60476e-69,-7.62895e-180,8.07412e-111,3.49899e-132,1.91967e-149,6.17527e-45,5.73705e-78,-7.25179e-150,0,5.20296e-68,-2.97449e-67,2.52995e-71
0.0038,1.46227e-27,0,0,0,-1.89703e-78,0,1.28954e-74,-2.06306e-101,-7.04795e-69,1.39143e-34,1.56255e-62,-6.06203e-129,-2.45778e-203,-5.32652e-123,2.99167e-45,-6.17002e-112,1.42146e-62,9.17611e-286,8.95334e-119,2.16676e-34,7.77513e-106,5.01265e-98,1.49159e-87,1.28538e-68,-9.3238e-180,2.25376e-110,2.7261e-131,1.49538e-148,6.17527e-45,-2.2502e-75,-1.12117e-147,0,-6.6674e-69,-1.31156e-67,-3.32519e-69
0.0039,1.46227e-27,0,0,0,9.15926e-70,0,1.27939e-70,3.68664e-96,-1.48691e-68,1.39143e-34,4.33926e-62,1.21757e-128,-1.11995e-200,1.28671e-122,2.99167e-45,-1.21505e-110,3.94743e-62,-1.30981e-272,1.51035e-115,2.16676e-34,2.15918e-105,5.01262e-98,1.49159e-87,3.56956e-68,-2.98393e-172,-1.15094e-107,2.9405e-127,3.6642e-144,6.17527e-45,1.1536e-74,3.82275e-143,0,2.53022e-67,-1.77736e-67,9.93441e-68
0.004,1.46227e-27,0,0,0,2.76635e-79,0,9.8921e-74,5.70535e-106,5.07299e-78,1.39143e-34,1.19863e-61,1.02943e-130,2.32715e-204,1.47954e-124,2.99167e-45,6.68243e-120,1.0904e-61,2.87434e-295,6.8683e-118,2.16676e-34,5.96431e-105,5.01269e-98,1.49159e-87,9.86018e-68,6.46511e-185,1.72891e-109,1.60434e-129,8.8019e-147,6.17527e-45,1.22951e-76,2.85954e-148,0,9.54019e-70,1.32438e-67,5.41894e-70
0.0041,1.46227e-27,0,0,0,7.59803e-79,0,2.71758e-73,-6.9073e-104,-1.08201e-72,1.39143e-34,3.29291e-61,2.82916e-130,1.75619e-203,4.06362e-124,2.99167e-45,-9.8934e-116,2.99556e-61,1.3736e-290,1.88689e-117,2.16676e-34,1.63853e-104,5.01269e-98,1.49159e-87,2.70881e-67,-3.8998e-182,4.74975e-109,1.21089e-128,6.64375e-146,6.17527e-45,3.37579e-76,2.15608e-147,0,2.62038e-69,3.63811e-67,1.48841e-69
0.0042,1.46227e-27,0,0,0,-3.65114e-69,0,4.58567e-71,-2.29729e-95,-2.79901e-68,1.39143e-34,8.99555e-61,1.98137e-130,1.65084e-201,1.4161e-124,2.99167e-45,-5.75492e-110,8.18327e-61,1.40971e-274,9.06829e-116,2.16676e-34,4.47612e-104,5.00771e-98,1.49159e-87,7.39991e-67,-1.20533e-172,2.2827e-107,1.81281e-126,9.94321e-144,6.17527e-45,3.61662e-77,-2.34373e-145,0,1.88401e-68,1.19177e-69,1.07585e-70
0.0043,1.46227e-27,0,0,0,5.63876e-78,0,2.01635e-72,2.23627e-103,-2.73085e-74,1.39143e-34,2.44322e-60,2.15004e-129,9.92883e-202,3.04515e-123,2.99167e-45,-2.20662e-117,2.2226e-60,2.18262e-290,1.39999e-116,2.16676e-34,1.21573e-103,5.01269e-98,1.49159e-87,2.00984e-66,2.01277e-182,3.52411e-108,6.66575e-127,3.65704e-144,6.17527e-45,2.50616e-75,1.18809e-145,0,1.94462e-68,2.6995e-66,1.10456e-68
0.0044,1.46227e-27,0,0,0,1.52243e-77,0,5.44401e-72,1.728e-102,2.79186e-76,1.39143e-34,6.59654e-60,6.05457e-129,7.5765e-201,8.36327e-123,2.99167e-45,3.6776e-118,6.00089e-60,2.63669e-288,3.77989e-116,2.16676e-34,3.28239e-103,5.01269e-98,1.49159e-87,5.42644e-66,1.95811e-181,9.51487e-108,4.8591e-126,2.66585e-143,6.17527e-45,6.76647e-75,8.66078e-145,0,5.25034e-68,7.28856e-66,2.98225e-68
0.0045,1.46227e-27,0,0,0,4.1003e-77,0,1.4609e-71,4.16434e-98,1.39614e-68,1.39143e-34,1.77019e-59,1.80108e-128,6.09552e-200,2.34342e-122,2.99167e-45,1.15563e-111,1.61034e-59,5.30788e-275,1.01435e-115,2.16676e-34,8.80832e-103,5.01275e-98,1.49159e-87,1.45619e-65,2.4452e-176,2.55334e-107,3.49925e-125,1.91988e-142,6.17527e-45,1.81474e-74,6.25634e-144,0,1.40866e-67,1.98612e-65,8.00132e-68
0.0046,1.46227e-27,0,0,0,1.09082e-76,0,3.89587e-71,1.30911e-97,1.38645e-68,1.39143e-34,4.72065e-59,6.07203e-128,5.56723e-199,6.96903e-122,2.99167e-45,1.14677e-111,4.29439e-59,4.52518e-274,2.70501e-115,2.16676e-34,2.34896e-102,5.01275e-98,1.49159e-87,3.8833e-65,6.47178e-176,6.80913e-107,2.48851e-124,1.36533e-141,6.17527e-45,4.83947e-74,4.4379e-143,0,3.75654e-67,5.24589e-65,2.13375e-67
0.0047,1.46227e-27,0,0,0,2.88679e-76,0,1.03228e-70,6.21296e-100,5.29385e-75,1.39143e-34,1.25082e-58,2.49828e-127,6.19834e-198,2.35162e-121,2.99167e-45,6.97336e-117,1.13787e-58,3.40855e-283,7.16733e-115,2.16676e-34,6.22397e-102,5.01269e-98,1.49159e-87,1.02895e-64,7.04031e-179,1.80418e-106,1.74707e-123,9.58499e-141,6.17527e-45,1.28304e-73,3.11396e-142,0,9.95554e-67,1.38204e-64,5.65486e-67
0.0048,1.46227e-27,0,0,0,-3.89621e-69,0,1.93807e-70,3.10649e-92,1.1107e-67,1.39143e-34,3.29249e-58,1.72759e-126,1.22072e-196,1.18368e-120,2.99167e-45,1.55902e-109,2.99519e-58,5.58785e-267,2.22725e-114,2.16676e-34,1.63832e-101,5.0231e-98,1.49159e-87,2.70847e-64,4.37387e-171,5.33528e-106,1.628e-122,9.59111e-140,6.17527e-45,3.15863e-73,5.38775e-141,0,2.31771e-66,3.66383e-64,1.24968e-66
0.0049,1.46227e-27,0,0,0,1.9863e-75,0,7.10435e-70,-4.72056e-97,-2.82862e-69,1.39143e-34,8.60839e-58,7.48875e-126,1.31523e-195,4.89012e-120,2.99167e-45,-2.58635e-112,7.83107e-58,6.32807e-277,4.93274e-114,2.16676e-34,4.28347e-101,5.01267e-98,1.49159e-87,7.08143e-64,-2.62865e-175,1.24169e-105,8.27523e-122,4.54025e-139,6.17527e-45,8.82506e-73,1.4735e-140,0,6.85027e-66,9.51083e-64,3.89103e-66
0.005,1.46227e-27,0,0,0,5.15746e-75,0,1.84466e-69,-3.18257e-96,-7.34457e-69,1.39143e-34,2.23519e-57,4.74334e-125,2.17369e-194,2.85712e-119,2.99167e-45,-6.71553e-112,2.03336e-57,2.87633e-275,1.2808e-113,2.16676e-34,1.11221e-100,5.01265e-98,1.49159e-87,1.83871e-63,-1.77221e-174,3.22407e-105,5.5791e-121,3.061e-138,6.17527e-45,2.29145e-72,9.93425e-140,0,1.77869e-65,2.46951e-63,1.01031e-65
0.0051,1.46227e-27,0,0,0,1.3297e-74,0,4.75588e-69,-7.53293e-96,-4.91607e-69,1.39143e-34,5.76273e-57,3.07505e-124,3.64054e-193,1.78706e-118,2.99167e-45,-5.70437e-112,5.24236e-57,1.62871e-274,3.30213e-113,2.16676e-34,2.86749e-100,5.01265e-98,1.49159e-87,4.74053e-63,-3.78241e-174,8.31223e-105,3.70845e-120,2.03466e-137,6.17527e-45,5.90778e-72,6.60341e-139,0,4.58578e-65,6.36715e-63,2.60478e-65
0.0052,1.46227e-27,0,0,0,3.40494e-74,0,1.21729e-68,1.10103e-95,2.44899e-69,1.39143e-34,1.47499e-56,1.99483e-123,6.04964e-192,1.14242e-117,2.99167e-45,1.91714e-113,1.3418e-56,4.40857e-272,8.4519e-113,2.16676e-34,7.33945e-100,5.01269e-98,1.49159e-87,1.21336e-62,1.29943e-174,2.12754e-104,2.42945e-119,1.33289e-136,6.17527e-45,1.51392e-71,4.33453e-138,0,1.17375e-64,1.62973e-62,6.66974e-65
