x (m),u (m/s), V (1/s), T (K), Y
0.0147,-0.224931,47.8578,300,4.21943e-10
0.0148,-0.229719,47.884,300,1.99759e-10
0.0149,-0.234508,47.9106,300,9.35722e-11
0.015,-0.239301,47.9378,300,4.3373e-11
0.0151,-0.244096,47.9655,300,1.9896e-11
0.0152,-0.248894,47.9938,300,9.03296e-12
0.0153,-0.253695,48.0227,300,4.0593e-12
0.0154,-0.258498,48.052,300,1.8058e-12
0.0155,-0.263305,48.082,300,7.95294e-13
0.0156,-0.268115,48.1124,300,3.46786e-13
0.0157,-0.272928,48.1434,300,1.4973e-13
0.0158,-0.277744,48.175,300,6.40193e-14
0.0159,-0.282563,48.2071,300,2.71082e-14
0.016,-0.287385,48.2398,300,1.13689e-14
0.0161,-0.292211,48.273,300,4.72276e-15
0.0162,-0.29704,48.3067,300,1.94344e-15
0.0163,-0.301872,48.341,300,7.92276e-16
0.0164,-0.306708,48.3759,300,3.19998e-16
0.0165,-0.311547,48.4113,300,1.28061e-16
0.0166,-0.31639,48.4472,300,5.07826e-17
0.0167,-0.321237,48.4837,300,1.99562e-17
0.0168,-0.326087,48.5208,300,7.77204e-18
0.0169,-0.330941,48.5584,300,2.99998e-18
0.017,-0.335799,48.5966,300,1.14778e-18
0.0171,-0.34066,48.6353,300,4.35294e-19
0.0172,-0.345526,48.6745,300,1.63653e-19
0.0173,-0.350395,48.7143,300,6.09972e-20
0.0174,-0.355269,48.7547,300,2.25408e-20
0.0175,-0.360146,48.7956,300,8.25904e-21
0.0176,-0.365028,48.8371,300,3.00068e-21
0.0177,-0.369914,48.8791,300,1.0811e-21
0.0178,-0.374804,48.9217,300,3.86274e-22
0.0179,-0.379698,48.9648,300,1.36878e-22
0.018,-0.384597,49.0085,300,4.81069e-23
0.0181,-0.3895,49.0528,300,1.67704e-23
0.0182,-0.394407,49.0976,300,5.79913e-24
0.0183,-0.399319,49.143,300,1.98927e-24
0.0184,-0.404236,49.1889,300,6.76955e-25
0.0185,-0.409157,49.2354,300,2.28552e-25
0.0186,-0.414083,49.2824,300,7.65582e-26
0.0187,-0.419014,49.33,300,2.54451e-26
0.0188,-0.423949,49.3782,300,8.39159e-27
0.0189,-0.428889,49.4269,300,2.74622e-27
0.019,-0.433834,49.4762,300,8.9186e-28
0.0191,-0.438784,49.526,300,2.8744e-28
0.0192,-0.44374,49.5764,300,9.19375e-29
0.0193,-0.4487,49.6274,300,2.9182e-29
0.0194,-0.453665,49.6789,300,9.18972e-30
0.0195,-0.458636,49.731,300,2.86854e-30
0.0196,-0.463611,49.7837,300,8.84888e-31
0.0197,-0.468592,49.8369,300,2.6709e-31
0.0198,-0.473579,49.8907,300,7.61819e-32
0.0199,-0.478571,49.9451,300,1.7703e-32
0.02,-0.5,50,300,0
